file,A_err,B_err,delta_err,A_RMSD,B_RMSD,delta_RMSD,A_RMSD_1st,B_RMSD_1st,delta_RMSD_1st,A_MSE,B_MSE,delta_MSE,A_ADE,B_ADE,delta_ADE,A_AAE(°),B_AAE(°),delta_AAE(°),A_ATE,B_ATE,delta_ATE,A_APL,B_APL,delta_APL,A_good%,B_good%,delta_good%,n
fast_big_curves,22.707183,20.802539,-1.904644,2.010284,1.860595,-0.149689,1.998896,1.898357,-0.100539,4.041241,3.461815,-0.579426,2.010284,1.860595,-0.149689,9.981454,8.473733,-1.50772,0.862253,0.717642,-0.144612,1.001368,2.589394,1.588027,9.154357,10.260955,1.106598,81240
fast_curve_line_with_pen_lifting,15.458314,16.606648,1.148334,1.33052,1.497479,0.166959,1.351084,1.850373,0.499288,1.770285,2.242445,0.47216,1.33052,1.497479,0.166959,7.639329,5.437319,-2.20201,0.819795,0.682863,-0.136932,1.503745,2.560149,1.056404,15.72114,15.410669,-0.310471,3543
fast_curve_line_with_sudden_stop,12.63845,14.591621,1.953171,0.924679,1.135966,0.211287,1.202702,1.799531,0.596829,0.855031,1.290418,0.435387,0.924679,1.135966,0.211287,16.212002,16.458717,0.246715,0.562134,0.359377,-0.202757,1.377886,1.956652,0.578766,16.34968,16.781934,0.432254,38172
fast_high_curvature,20.121465,24.151157,4.029693,1.737574,2.151926,0.414352,1.767112,1.97291,0.205798,3.019165,4.630786,1.611621,1.737574,2.151926,0.414352,11.304897,11.429666,0.12477,0.772644,0.637043,-0.135601,1.178769,2.125442,0.946673,11.907433,11.78641,-0.121022,67756
fast_polylines,12.00694,12.425397,0.418458,0.903198,0.987933,0.084736,1.387272,1.976501,0.589229,0.815766,0.976013,0.160246,0.903198,0.987933,0.084736,14.094539,12.899665,-1.194874,0.514999,0.294646,-0.220353,1.622082,2.214031,0.591949,19.228951,24.008614,4.779663,19039
fast_small_curves,12.760111,15.818912,3.058801,1.012351,1.288542,0.276191,1.294516,2.194189,0.899672,1.024854,1.66034,0.635486,1.012351,1.288542,0.276191,11.903332,14.722462,2.81913,0.55908,0.363938,-0.195142,1.509597,2.407496,0.897899,12.943191,10.450361,-2.492829,66591
fast_straight_line_ending_wiht_pen_lifting,24.650743,33.561785,8.911042,2.13877,3.099606,0.960836,2.133426,2.191037,0.057612,4.574338,9.607558,5.03322,2.13877,3.099606,0.960836,13.654539,10.806599,-2.84794,0.879874,0.679617,-0.200257,0.920281,2.342205,1.421923,13.379036,10.592658,-2.786378,4522
fast_straight_line_with_sudden_stop,18.792102,16.954544,-1.837558,1.512072,1.402712,-0.109361,1.691276,1.832289,0.141014,2.286362,1.9676,-0.318762,1.512072,1.402712,-0.109361,17.22637,14.199541,-3.026829,0.664811,0.44914,-0.215672,1.197887,1.914032,0.716145,17.539594,22.353432,4.813837,14396
normal_big_curves,11.858304,9.002032,-2.856272,1.031514,0.765264,-0.26625,1.592154,2.349105,0.756951,1.064021,0.585629,-0.478392,1.031514,0.765264,-0.26625,5.23709,4.75131,-0.48578,0.629118,0.520132,-0.108986,2.252977,3.058694,0.805716,16.825858,23.954873,7.129014,14448
normal_curve_line_with_pen_lifting,11.902164,10.255862,-1.646302,0.967421,0.881262,-0.086159,1.597041,2.346278,0.749237,0.935903,0.776623,-0.15928,0.967421,0.881262,-0.086159,9.461509,6.049568,-3.411941,0.57661,0.38739,-0.18922,2.064566,2.855558,0.790992,19.334258,26.907074,7.572816,7210
normal_curve_line_with_sudden_stop,10.649868,8.361913,-2.287956,0.741613,0.620468,-0.121145,1.404703,2.028127,0.623424,0.54999,0.384981,-0.165009,0.741613,0.620468,-0.121145,15.687723,10.94431,-4.743413,0.495714,0.247087,-0.248627,1.635353,2.220696,0.585343,24.111257,32.768269,8.657011,12152
